Name,src,target
000000," What do you think seems fun about this job?
 I like working with and getting to know new people!
", I take it you're very social then?
000001," What do you think seems fun about this job?
 I am eager to learn more about marketing and you have some very talented people here.
", Yes we really do. What are you eager to learn specifically?
000002," What do you think seems fun about this job?
 It's exiting to be part of such a big company. I have only worked at smaller firms before.
", And how do you think it will be to work in a bigger company?
000003," What do you think seems fun about this job?
 I think it sounds like an exiting project. I really like to dig in to something new.
", That's good. Do you ever get bored of repetetive tasks?
000004," What do you think seems fun about this job?
 The location is really good. I live only five minutes away.
", Yes it's a good location. Where do you live?
000005," What do you think seems fun about this job?
 The job description said it included a lot of variety. I think that sounds good
", Is variety in your job important to you?
000006," What do you think seems fun about this job?
 The job description said it included travelling. I like seeing new places and being on the move.
", Yes you would travel quite a lot during parts of the year.
000007," What do you think seems fun about this job?
 I like taking care of people. It makes me feel important!
"," I see, that sounds like a good quality for this job!"
000008," What do you think seems fun about this job?
 It seems like a challening project.
", Yes that's why we are looking for new competence. What is your experience with working in a team?
000009," You've applied for the job as fireman. What do you think is fun about this job?
 It makes me feel important to help people in difficult situations. 
", And how would you feel if you fail on a mission?
000011," You've applied for the job as clerk here. What do you think is fun about this job?
 I like to help people who are looking to buy something. It's very fun to recommend products to customers.
", Have you worked as a clerk before?
000012," You've applied for the job as taxi driver. What do you think is fun about this job?
 I've always liked driving cars, and getting somewhere is a fun puzzle to solve.
", And are you good at talking to customers? Would you describe yourself as social?
000013," You've applied for the job as nurse. What do you think is fun about this job?
 It's a job where a lot of things happen and I like always having something to do and not being passive.
", And have you worked as a nurse before?
000014," You've applied for the job as nurse. What do you think is fun about this job?
 It's a job where a lot of things happen and I like always having something to do and not being passive.
 And have you worked as a nurse before?
 Yes, for five years before my maternity leave.
", Okay and when can you start working?
000015," You have applied for the job as receptionist. What makes you a good fit?
 I like to talk to people and I'm always nice and pragmatic.
", I see. Can you give an example of a situation where it was difficult to do so?
000016," Is there anything you want to ask about this job?
 How do you like your collegues?
", I like my colleagues. Anything else?
000017," Is there anything you want to ask about this job?
 How do you like your collegues?
 I like my colleagues. Anything else?
 What is the salary?
", 25000 
000018," You have applied for the job as waiter. What makes you a good fit?
 I am observant and have a good memory
", I see. Can you give an example of a situation where it was difficult to do so?
000019," You have applied for the job as waiter. What makes you a good fit?
 I am observant and have a good memory
 I see. Can you give an example of a situation where it was difficult to do so?
 Once I had a customer that changed his order, and forgot that the order was changed. He was very upset that he did not remember that. I managed to remember him about the change.
", Is there anything you want to ask about this job?
000020," You have applied for the job as waiter. What makes you a good fit?
 I am observant and have a good memory
 I see. Can you give an example of a situation where it was difficult to do so?
 Once I had a customer that changed his order, and forgot that the order was changed. He was very upset that he did not remember that. I managed to remember him about the change.
 Is there anything you want to ask about this job?
 Is there a need for working overtime? I have small children and can have difficulties with that.
", Only occasionally. Anything else?
000021," You have applied for the job as waiter. What makes you a good fit?
 I am observant and have a good memory
 I see. Can you give an example of a situation where it was difficult to do so?
 Once I had a customer that changed his order, and forgot that the order was changed. He was very upset that he did not remember that. I managed to remember him about the change.
 Is there anything you want to ask about this job?
 Is there a need for working overtime? I have small children and can have difficulties with that.
 Only occasionally. Anything else?
 What is the salary?
", 20000 plus tips.
000022," You have applied for the job as manager for our warehouse. What makes you suitable for this position?
 I am good at organizing both people and administration.
", I understand. Can you give an example of a situation where it was difficult to do so?
000023," What is the most important for you in a management position?
 That responsabilites and authorities correspond.
", Yes you will have a proper job description. Anything else?
000024," What is the most important for you in a management position?
 That responsabilites and authorities correspond.
 Yes you will have a proper job description. Anything else?
 Is overtime financially compensated or do you offer an extra week of vacation?
", You will have an extra week of vacation 
000025," You have applied for the job as cleaner of our office. What about you as a person makes you a good cleaner?
 I like to clean and tidy up and I am very careful and efficent.
", I see. Can you give an example of a situation where it was difficult to do so?
000026," Is there anything you want to ask about this job?
 Will I be the only cleaner in the office?
"," No, there's another person you will work with."
000027," Is there anything you want to ask about this job?
 Will I be the only cleaner in the office?
 No, there's another person you will work with.
 During my vacation who will do the cleaning?
", We will hire a temp.
000028," You have applied for the job as controller. What makes you a good fit?
 I like figures and am well organised. I always deliver on time.
", I see. Can you give an example of a situation where it was difficult to do so?
000029," Is there anything you want to ask about this job?
 To whom will I report?
", Your manager will be the CFO. Anything else?
000030," Is there anything you want to ask about this job?
 To whom will I report?
 Your manager will be the CFO. Anything else?
 How many people work in finance?
"," There's five people in finance right now, but we might hire more people soon."
000031," You have applied for the job as finance assistant. What makes you a good fit?
 I am good at reading figures and am detail oriented. And I always deliver on time.
", Can you explain more about how you are detail oriented?
000032," You have applied for the job as IT-support of our office. What makes you a good fit?
 I like to clean and fix computers and I am very careful and efficent.
", I see. Can you give an example of a situation where it was difficult to do so?
000033," Is there anything you want to ask about this job?
 Will I be the only one in IT-support in the office?
", I like my colleagues. Anything else?
000034," Is there anything you want to ask about this job?
 Will I be the only one in IT-support in the office?
 I like my colleagues. Anything else?
 During my vacation who will do the support?
", we hire a student. 
000035," You have applied for the job as manager for the administration. What makes you a good fit?
 I have motivation for and sqills for administration.
", I see. Can you give an example of a situation where it was difficult to do so?
000036," You have applied for the job as manager for the administration. What makes you a good fit?
 I have motivation for and sqills for administration.
 I see. Can you give an example of a situation where it was difficult to do so?
 It when I hired the wrong person for the reception.
", What is the most important for you in a management position?
000037," You have applied for the job as manager for the administration. What makes you a good fit?
 I have motivation for and sqills for administration.
 I see. Can you give an example of a situation where it was difficult to do so?
 It when I hired the wrong person for the reception.
 What is the most important for you in a management position?
 Will I have proper instruktions?
", Yes you will have a proper jobdeskription. Anything else?
000038," You have applied for the job as manager for the administration. What makes you a good fit?
 I have motivation for and sqills for administration.
 I see. Can you give an example of a situation where it was difficult to do so?
 It when I hired the wrong person for the reception.
 What is the most important for you in a management position?
 Will I have proper instruktions?
 Yes you will have a proper jobdeskription. Anything else?
 how long have the present persons in the administration worked?
", 10 years
000039," You have applied for the job as manager for the administration. What makes you a good fit?
 I have motivation for and sqills for administration.
", I see. Can you give an example of a situation where it was difficult to do so?
000040," You have applied for the job as manager for the administration. What makes you a good fit?
 I have motivation for and sqills for administration.
 I see. Can you give an example of a situation where it was difficult to do so?
 It when I hired the wrong person for the reception.
", What is the most important for you in a managementposition?
000041," You have applied for the job as manager for the administration. What makes you a good fit?
 I have motivation for and sqills for administration.
 I see. Can you give an example of a situation where it was difficult to do so?
 It when I hired the wrong person for the reception.
 What is the most important for you in a managementposition?
 That responsabilites and authories correspond?
", Yes you will have a proper jobdeskription. Anything else?
000042," You have applied for the job as manager for the administration. What makes you a good fit?
 I have motivation for and sqills for administration.
 I see. Can you give an example of a situation where it was difficult to do so?
 It when I hired the wrong person for the reception.
 What is the most important for you in a managementposition?
 That responsabilites and authories correspond?
 Yes you will have a proper jobdeskription. Anything else?
 what will be my conditions if you employ me
", we follow the unions conditions
000043," You have applied for the job as controller. What makes you a good fit?
 I like figures and is well organised. I always deliver on time.
", I see. Can you give an example of a situation where it was difficult to do so?
000044," Is there anything you want to ask about this job?
 To whome will I report?
", Your manager will be the CFO. Anything else?
000045," Is there anything you want to ask about this job?
 To whome will I report?
 Your manager will be the CFO. Anything else?
 How many people work in finance?
", 5 
000046," You have applied for the job as finance assistent. What makes you a good fit?
 I am good at reading figures and is detailoriented. I always deliver on time.
", I see. Can you give an example of a situation where it was difficult to do so?
000047," You have applied for the job as IT-support of our office. What makes you a good fit?
 I like to clean and fix computers and I am very careful and efficent.
", I see. Can you give an example of a situation where it was difficult to do so?
000048," Is there anything you want to ask about this job?
 Will I be the only one in IT-support in the office?
", No we've got a team of four people working already.
000049," Is there anything you want to ask about this job?
 Will I be the only one in IT-support in the office?
 No we've got a team of four people working already.
 That's nice
", You have applied for the job as manager for our customer support. What makes you a good fit?
